,Title,count,id,track_id,popularity,artist_name,acousticness,danceability,energy,instrumentalness,loudness,speechiness,valence,tempo,track_name
0,Rain On Me (with Ariana Grande),60,,24ySl2hOPGCDcxBxFIqWBu,88,Lady Gaga,0.021,0.672,0.855,0,-3.764,0.0397,0.646,123.056,Rain On Me (with Ariana Grande)
1,Blinding Lights,60,,0VjIjW4GlUZAMYd2vXMi3b,97,The Weeknd,0.00146,0.514,0.73,9.54e-05,-5.934,0.0598,0.334,171.005,Blinding Lights
2,Dance Monkey,53,,2XU0oxnq2qxCpomAAuJY8K,90,Tones And I,0.692,0.824,0.588,0.000104,-6.4,0.0924,0.513,98.027,Dance Monkey
3,death bed (coffee for your head) (feat. beabadoobee),53,,7eJMfftS33KTjuF7lTsMCx,92,Powfu,0.731,0.726,0.431,0,-8.765,0.135,0.348,144.026,death bed (coffee for your head)
4,Don't Start Now,52,,6WrI0LAC5M1Rw2MnX2ZvEg,86,Dua Lipa,0.0125,0.794,0.793,0,-4.521,0.0842,0.677,123.941,Don't Start Now
5,Roses - Imanbek Remix,45,,2Wo6QQD1KMDWeFkkjLqwx5,82,SAINt JHN,0.0149,0.785,0.721,0.00432,-5.457,0.0506,0.894,121.962,Roses - Imanbek Remix
6,Toosie Slide,43,,127QTOFJsJQp5LbJbu3A1y,86,Drake,0.321,0.834,0.454,6.15e-06,-9.75,0.201,0.837,81.618,Toosie Slide
7,Stuck with U (with Justin Bieber),39,,4HBZA5flZLE435QTztThqH,90,Ariana Grande,0.223,0.597,0.45,0,-6.658,0.0418,0.537,178.765,Stuck with U (with Justin Bieber)
8,THE SCOTTS,36,,39Yp9wwQiSRIDOvrVg7mbk,87,THE SCOTTS,0.233,0.716,0.537,0,-7.648,0.0514,0.28,129.979,THE SCOTTS
9,ily (i love you baby) (feat. Emilee),35,,62aP9fBQKYKxi7PDXwcUAS,90,Surf Mesa,0.0686,0.674,0.774,0.00188,-7.567,0.0892,0.33,112.05,ily (i love you baby) (feat. Emilee)
10,Break My Heart,35,,1raaNykBg1bDnWENUiglUA,83,Dua Lipa,0.167,0.73,0.729,1.39e-06,-3.434,0.0886,0.467,113.012,Break My Heart
11,ROCKSTAR (feat. Roddy Ricch),35,,7ytR5pFWmSjzHJIeQkgog4,96,DaBaby,0.247,0.746,0.69,0,-7.956,0.164,0.497,89.977,ROCKSTAR (feat. Roddy Ricch)
12,Supalonely,33,,4nK5YrxbMGZstTLbvj6Gxw,87,BENEE,0.305,0.863,0.631,3.04e-05,-4.689,0.0534,0.817,128.977,Supalonely
13,Blueberry Faygo,32,,6wJYhPfqk3KGhHRG76WzOh,86,Lil Mosey,0.207,0.774,0.554,0,-7.909,0.0383,0.349,99.034,Blueberry Faygo
14,GOOBA,32,,4NhDYoQTYCdWHTvlbGVgwo,83,6ix9ine,0.0264,0.611,0.688,0,-5.688,0.341,0.393,178.462,GOOBA
15,The Box,31,,0nbXyq5TXYPCO7pr3N8S4I,89,Roddy Ricch,0.104,0.896,0.586,0,-6.687,0.0559,0.642,116.971,The Box
16,Falling,30,,1ZMiCix7XSAbfAJlEZWMCp,87,Harry Styles,0.839,0.567,0.267,1.46e-06,-6.502,0.0299,0.0592,110.011,Falling
17,In Your Eyes,27,,7szuecWAPwGoV1e5vGu8tl,87,The Weeknd,0.00285,0.667,0.719,8.1e-05,-5.371,0.0346,0.717,100.021,In Your Eyes
18,Intentions (feat. Quavo),27,,4umIPjkehX1r7uhmGvXiSV,83,Justin Bieber,0.3,0.806,0.546,0,-6.637,0.0575,0.874,147.986,Intentions (feat. Quavo)
19,Breaking Me,26,,3H7ihDc1dqLriiWXwsc2po,94,Topic,0.223,0.789,0.72,0,-5.652,0.218,0.664,122.031,Breaking Me
20,Be Kind (with Halsey),25,,3Z8FwOEN59mRMxDCtb8N0A,87,Marshmello,0.00776,0.63,0.633,0,-7.088,0.0457,0.452,93.995,Be Kind (with Halsey)
21,Tusa,24,,7k4t7uLgtOxPwTpFmtJNTY,88,KAROL G,0.295,0.803,0.715,0.000134,-3.28,0.298,0.574,101.085,Tusa
22,Someone You Loved,24,,7qEHsqek33rTcFNT9PFqLf,90,Lewis Capaldi,0.751,0.501,0.405,0,-5.679,0.0319,0.446,109.891,Someone You Loved
23,Say So,24,,3Dv1eDb0MEgF93GpLXlucZ,87,Doja Cat,0.256,0.787,0.673,3.57e-06,-4.577,0.158,0.786,110.962,Say So
24,Sunday Best,23,,1Cv1YLb4q0RzL6pybtaMLo,87,Surfaces,0.183,0.878,0.525,0,-6.832,0.0578,0.694,112.022,Sunday Best
25,Boss Bitch,23,,78qd8dvwea0Gosb6Fe6j3k,84,Doja Cat,0.127,0.707,0.955,0,-4.593,0.222,0.575,125.989,Boss Bitch
26,goosebumps,23,,6gBFPUFcJLzWGx4lenP6h2,89,Travis Scott,0.0847,0.841,0.728,0,-3.37,0.0484,0.43,130.049,goosebumps
27,ROXANNE,23,,696DnlkuDOXcMAnKlTgXXK,87,Arizona Zervas,0.0522,0.621,0.601,0,-5.616,0.148,0.457,116.735,ROXANNE
28,Circles,22,,21jGcNKet2qwijlDFuPiPb,90,Post Malone,0.192,0.695,0.762,0.00244,-3.497,0.0395,0.553,120.042,Circles
29,La Difícil,20,,6NfrH0ANGmgBXyxgV2PeXt,83,Bad Bunny,0.0861,0.685,0.848,7.14e-06,-4.561,0.0858,0.761,179.87,La Difícil
30,Life Is Good (feat. Drake),20,,5yY9lUy8nbvjM1Uyo1Uqoc,85,Future,0.0706,0.676,0.609,0,-5.831,0.481,0.508,142.037,Life Is Good (feat. Drake)
31,Say So (feat. Nicki Minaj),19,,11VApNQCWLJdzxWrlmwzUa,78,Doja Cat,0.119,0.856,0.641,4.97e-06,-4.64,0.204,0.745,111.004,Say So (feat. Nicki Minaj)
32,Watermelon Sugar,19,,6UelLqGlWMcVH1E5c4H7lY,95,Harry Styles,0.122,0.548,0.816,0,-4.209,0.0465,0.557,95.39,Watermelon Sugar
33,WHATS POPPIN,19,,2MbdDtCv5LUVjYy9RuGTgC,91,Jack Harlow,0.0631,0.904,0.723,0,-5.224,0.26,0.835,145.013,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix"
34,HIGHEST IN THE ROOM,19,,3eekarcy7kvN4yt5ZFzltW,88,Travis Scott,0.0546,0.598,0.427,5.83e-06,-8.764,0.0317,0.0605,76.469,HIGHEST IN THE ROOM
35,SICKO MODE,18,,2xLMifQCjDGFmkHkpNLD9h,88,Travis Scott,0.00513,0.834,0.73,0,-3.714,0.222,0.446,155.008,SICKO MODE
36,Party Girl,18,,5RqR4ZCCKJDcBLIn4sih9l,87,StaySolidRocky,0.749,0.728,0.431,0,-9.966,0.0622,0.629,130.022,Party Girl
37,Yo Perreo Sola,18,,0SqqAgdovOE24BzxIClpjw,86,Bad Bunny,0.021,0.86,0.758,6.54e-05,-5.16,0.0695,0.453,97.014,Yo Perreo Sola
38,Rojo,18,,006v2gpnJkCpaPMj09zCf1,0,J Balvin,0.15,0.652,0.595,0.000106,-4.04,0.117,0.421,172.277,Rojo
39,Safaera,18,,2DEZmgHKAvm41k4J3R2E9Y,86,Bad Bunny,0.0103,0.607,0.829,0,-4.074,0.379,0.685,96.172,Safaera
40,Favorito,18,,0Snbzbd74RLfL0i4nn1vU5,82,Camilo,0.229,0.611,0.851,0,-2.982,0.0598,0.823,178.032,Favorito
41,Elegí (feat. Dímelo Flow),17,,50ZC4PM7hywH27RcCfViau,86,Rauw Alejandro,0.237,0.824,0.631,0.000116,-2.791,0.0809,0.678,171.965,Elegí (feat. Dímelo Flow)
42,Tattoo,17,,4ZRrLHqzhGRXYj2qcB4s5S,92,Rauw Alejandro,0.0413,0.848,0.637,0,-5.132,0.156,0.698,96.988,Tattoo - Remix with Camilo
43,Before You Go,17,,7ce20yLkzuXXLUhzIDoZih,87,Lewis Capaldi,0.604,0.459,0.575,0,-4.858,0.0573,0.183,111.881,Before You Go
44,Diosa,17,,3JHpk0DOTOzyh0777JFAky,83,Myke Towers,0.398,0.801,0.745,0.00603,-3.733,0.063,0.245,104.965,Diosa
45,BYE ME FUI,17,,0FktnzDqjClqU6iqOZVEs2,79,Bad Bunny,0.412,0.712,0.599,2.15e-05,-6.342,0.112,0.588,179.788,BYE ME FUI
46,PORFA,16,,7lUdbnz7wsv3C9zzf4WHl9,84,Feid,0.0765,0.793,0.737,0,-4.731,0.0785,0.697,167.969,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix"
